sample_id,sample_date,gage_ht,temp,p_h,cond,cl,no3_n,so4_s,na,k,mg,ca,nh4_n,po4_p,doc,dic,tdn,tdp,si_o2,don,tss
QS,1987-01-05,2.82,20,7.22,48.2,7.3,97,0.52,4.75,0.18,1.5,2.46,14,NA,0.72,3.37,NA,NA,11.8,NA,2.3
QS,1987-01-13,2.66,20,7.34,49.8,7.5,114,0.73,4.81,0.19,1.58,6.53,20,NA,0.74,3.35,NA,NA,12.2,NA,0.72
QS,1987-01-20,2.61,20,7.12,50.3,7.5,115,NA,5.19,0.2,1.66,2.6,25,NA,0.69,4.42,NA,NA,12.5,NA,1.05
QS,1987-01-27,2.58,20,7.19,50.4,7.3,117,NA,5.08,0.18,1.64,2.67,30,NA,0.62,3.3,NA,NA,12.4,NA,1.05
QS,1987-02-03,2.8,20,7.36,49.6,7.3,103,0.85,4.86,0.17,1.49,2.39,25,NA,0.75,5.03,NA,NA,10.9,NA,1.6
QS,1987-02-10,2.63,20,7.19,53.3,7.2,110,NA,5.11,0.18,1.59,2.55,30,NA,0.61,4.18,NA,NA,12.2,NA,1.32
QS,1987-02-17,2.84,20,NA,43.7,7,94,NA,4.8,0.17,1.44,2.33,7,NA,1.78,2.4,NA,NA,11.1,NA,1.23
QS,1987-02-24,2.68,19,6.93,48.4,7.3,90,NA,5.08,0.18,1.6,2.48,6,NA,1.85,2.9,NA,NA,12.5,NA,1.18
QS,1987-03-03,2.76,20,7.02,48.4,7.6,86,NA,4.9,0.2,1.64,2.55,NA,NA,1.49,2.46,NA,NA,11.8,NA,1.2
QS,1987-03-10,2.64,20,7.17,49.9,7.3,97,NA,4.89,0.2,1.51,2.81,NA,NA,1.29,3.34,NA,NA,12.3,NA,0.96
QS,1987-03-17,6,19,6.42,20.5,3.7,218,NA,2.43,0.19,0.55,0.86,NA,NA,4.97,0.61,NA,NA,NA,NA,12.2
QS,1987-03-24,2.8,21,7.03,48.7,7.3,71,NA,4.97,0.25,1.47,2.42,NA,NA,1.32,3.77,NA,NA,12.6,NA,1.09
QS,1987-03-31,2.7,20,7.09,50.9,7.4,83,NA,5.04,0.22,1.56,2.62,NA,NA,1.25,3.95,NA,NA,13.6,NA,0.83
QS,1987-04-07,2.7,21,7.02,50.5,7.4,80,NA,5.02,0.24,1.66,2.63,NA,NA,2.31,4.17,NA,NA,13.3,NA,1.55
QS,1987-04-14,4.2,21,6.86,35.5,6.1,106,NA,3.83,0.21,0.99,1.65,7,NA,3.43,1.56,NA,NA,6.5,NA,2.93
QS,1987-04-21,2.9,22,6.96,48.5,7.2,69,NA,4.93,0.27,1.48,2.36,11,NA,1.54,4.18,NA,NA,12.9,NA,0.71
QS,1987-04-28,2.7,22,6.9,51.8,7.3,80,NA,5.27,0.24,1.61,2.54,45,NA,NA,4.37,NA,NA,14,NA,1.5
QS,1987-05-05,2.74,22,6.83,51.7,7.1,116,NA,4.95,0.23,1.61,2.64,109,NA,2.07,3.64,NA,NA,12.6,NA,16.05
QS,1987-05-12,4.2,21,6.24,37,NA,246,NA,3.17,0.14,1,1.51,14,NA,3.73,1.37,NA,NA,NA,NA,5.5
QS,1987-05-19,3.86,22,6.63,33.9,NA,104,NA,3.5,0.14,0.93,1.43,17,NA,2.76,1.68,NA,NA,NA,NA,4.05
QS,1987-05-26,3.56,23,6.71,37.1,5.5,78,NA,3.79,0.22,1.04,1.74,16,NA,1.94,2.18,NA,NA,9,NA,2.43
QS,1987-06-02,2.68,NA,6.86,44,6.1,68,NA,4.37,0.22,1.22,2.37,NA,NA,2.84,1.84,NA,NA,11.5,NA,2
QS,1987-06-09,2.86,22,7.3,49.3,7.58,31,NA,4.83,0.26,1.42,2.43,14,NA,1.17,2.95,NA,NA,12.6,NA,1.35
QS,1987-06-16,3.5,22,6.77,40.1,6.1,106,NA,4.06,0.21,1.12,1.99,8,NA,2.37,2.07,NA,NA,7.9,NA,2.8
QS,1987-06-23,3.52,21,6.74,31.7,5.4,80,NA,3.81,0.16,1.04,1.8,13,NA,1.7,1.78,NA,NA,9,NA,2.3
QS,1987-06-30,3.36,22,6.71,42.1,6.1,72,0.54,4.24,0.21,1.22,2.03,71,NA,2.41,2.68,NA,NA,10.4,NA,2.43
QS,1987-07-07,3.56,21,6.54,39.8,5.9,80,NA,8.77,0.2,1.08,2.01,100,NA,2.79,2,NA,NA,8.6,NA,4.8
QS,1987-07-14,2.76,23,6.71,46.4,6.6,82,NA,4.63,0.21,1.38,2.39,27,NA,1.35,2.72,NA,NA,12.2,NA,1.25
QS,1987-07-21,3.4,21.5,7.14,46.1,6.3,124,NA,4.44,0.2,1.31,2.27,20,NA,1.2,2.2,NA,NA,11.8,NA,5.65
QS,1987-07-28,3,22.5,6.06,45,6.2,176,0.59,4.32,0.2,1.2,2.34,44,NA,NA,1.54,NA,NA,9,NA,4
QS,1987-08-04,3.15,NA,6.24,40.2,6.1,123,0.42,3.99,0.22,1.17,1.95,20,NA,NA,NA,NA,NA,8.6,NA,2.63
QS,1987-08-11,2.58,23,6.54,50,6.6,80,NA,4.78,0.21,1.53,2.43,18,NA,NA,2.86,NA,NA,11.8,NA,1.17
QS,1987-08-18,2.6,22.5,6.32,46.8,6.6,80,NA,4.73,0.25,1.54,2.41,34,NA,NA,2.28,NA,NA,11.8,NA,1.24
QS,1987-08-25,2.72,23,6.31,46.2,6.5,84,NA,4.65,0.21,1.47,2.52,29,NA,NA,3.18,NA,NA,11.8,NA,1.18
QS,1987-09-01,2.94,22,6.4,41.3,6.4,96,NA,4.23,0.25,1.24,2.18,45,NA,NA,3,NA,NA,9.7,NA,1.4
QS,1987-09-08,2.64,22,6.25,47,7.2,99,0.46,4.73,0.24,1.49,2.54,28,NA,NA,3.39,NA,NA,12.1,NA,1.03
QS,1987-09-15,2.96,22.5,7.17,46.2,7,88,NA,4.56,0.24,1.46,2.44,19,NA,NA,3.29,NA,NA,12.1,NA,1.1
QS,1987-09-22,3.36,22,6.4,40.8,6.3,86,NA,4.17,0.21,1.27,2.11,18,NA,NA,3.44,NA,NA,10.7,NA,4.73
QS,1987-09-29,3.52,22,6.31,35.1,5.07,237,NA,3.69,0.23,1.05,1.8,12,NA,NA,2.11,NA,NA,6.8,NA,7.2
QS,1987-10-06,2.79,22,6.46,43.4,6.62,96,NA,4.43,0.21,1.36,2.21,15,NA,NA,3.35,NA,NA,11.5,NA,0.57
QS,1987-10-13,2.52,24,6.68,50.4,7.3,111,1.49,4.93,0.23,1.6,2.44,14,NA,NA,4.87,NA,NA,13,NA,0.83
QS,1987-10-20,2.84,23,6.46,43,6.25,100,0.61,4.2,0.22,1.33,2.09,9,NA,NA,3.25,NA,NA,10.8,NA,0.99
QS,1987-10-27,2.8,22,6.32,42.2,6.7,92,0.67,4.11,0.24,1.24,2.19,10,NA,NA,3.45,NA,NA,11,NA,1.1
QS,1987-11-03,2.62,22,6.61,47.7,7.1,103,0.59,4.61,0.24,1.57,2.51,31,NA,NA,3.87,NA,NA,12.8,NA,0.73
QS,1987-11-10,2.68,22,6.9,43.2,6.68,99,0.69,4.47,0.24,1.56,2.4,9,NA,NA,3.77,NA,NA,12.5,NA,0.89
QS,1987-11-17,3.55,21.5,6.41,39.3,5.89,182,0.7,3.81,0.26,1.26,2.06,24,NA,NA,3,NA,NA,8,NA,4.75
