stfips,state_code.x,county_code.x,state_name.x,state.x,county_name.x,county_name.y,cat_rucc,rucc_text,EQI_22July2013,air_EQI_22July2013,water_EQI_22July2013,land_EQI_22July2013,built_EQI_22July2013,sociod_EQI_22July2013,county_name,state_code.y,X2006,X2007,X2008,X2009,july_1_2010,state.y,state_name.y,county_code.y,pop_change_pct,pop_change_text
01001,01,001,Alabama,AL,Autauga County,Autauga County,1,metropolitan or urban,0.0041379,0.9553846,-1.109728,-0.7065906,-0.4973013,0.6704357,Autauga County,01,51328,52405,53277,54135,54632,AL,Alabama,001,6.437032418952618,positive
01003,01,003,Alabama,AL,Baldwin County,Baldwin County,2,metropolitan or urban,0.2002343,0.7179643,-0.5659107,-1.084299,0.4015849,0.5530728,Baldwin County,01,168121,172404,175827,179406,183195,AL,Alabama,003,8.96616127669952,positive
01005,01,005,Alabama,AL,Barbour County,Barbour County,3,less urban or thinly populated,-0.9506388,0.1310074,-0.9780902,-1.28147,0.0488544,-1.236294,Barbour County,01,27861,27757,27808,27657,27411,AL,Alabama,005,-1.6151609777107785,negative
01007,01,007,Alabama,AL,Bibb County,Bibb County,1,metropolitan or urban,-1.08892,0.065289,-0.9681726,-0.8274103,-1.290857,-0.6000178,Bibb County,01,22099,22438,22705,22941,22867,AL,Alabama,007,3.4752703742250777,positive
01009,01,009,Alabama,AL,Blount County,Blount County,1,metropolitan or urban,-0.5139221,0.4021944,-0.7186447,-0.6229339,-1.26274,0.2965088,Blount County,01,55485,56240,57055,57341,57338,AL,Alabama,009,3.3396413445075246,positive
01011,01,011,Alabama,AL,Bullock County,Bullock County,3,less urban or thinly populated,-2.082829,-0.3091858,-1.451335,-1.258014,-1.795921,-1.82397,Bullock County,01,10776,11011,10953,10987,10890,AL,Alabama,011,1.0579064587973273,positive
01013,01,013,Alabama,AL,Butler County,Butler County,3,less urban or thinly populated,-1.296328,-0.0704518,-1.528175,-1.678537,-0.0580627,-1.295534,Butler County,01,20815,20894,20949,20867,20951,AL,Alabama,013,0.6533749699735768,positive
01015,01,015,Alabama,AL,Calhoun County,Calhoun County,1,metropolitan or urban,0.1712656,1.027328,-0.9281401,-0.0666635,0.4047821,-0.3698209,Calhoun County,01,115388,116211,117274,118363,118510,AL,Alabama,015,2.7056539674836206,positive
01017,01,017,Alabama,AL,Chambers County,Chambers County,3,less urban or thinly populated,-0.4575818,0.6116033,-1.004405,-0.2369899,-0.4082792,-0.699318,Chambers County,01,34945,34847,34563,34384,34157,AL,Alabama,017,-2.2549720990127344,negative
01019,01,019,Alabama,AL,Cherokee County,Cherokee County,4,less urban or thinly populated,-0.657851,0.1769833,-0.9704146,-0.1945019,-0.6189157,-0.6738133,Cherokee County,01,25466,25553,25636,25854,25991,AL,Alabama,019,2.061572292468389,positive
01021,01,021,Alabama,AL,Chilton County,Chilton County,1,metropolitan or urban,-0.5415099,0.1707421,-1.059535,-0.6654943,-0.447298,-0.141334,Chilton County,01,42318,42881,43239,43484,43682,AL,Alabama,021,3.2232147076893995,positive
01023,01,023,Alabama,AL,Choctaw County,Choctaw County,4,less urban or thinly populated,-1.584042,-0.3624081,-1.24212,-1.716982,-0.7427115,-1.242582,Choctaw County,01,14431,14216,14114,13976,13820,AL,Alabama,023,-4.233940821841868,negative
01025,01,025,Alabama,AL,Clarke County,Clarke County,3,less urban or thinly populated,-1.218799,-0.1306789,-1.122216,-1.877054,-0.2272212,-0.9321283,Clarke County,01,26755,26436,26283,26038,25763,AL,Alabama,025,-3.7077181835170996,negative
