stfips,state_code,county_code,state_name,state,county_name,cat_rucc,rucc_text,EQI,air_EQI,water_EQI,land_EQI,built_EQI,sociodemographic_EQI,pop_change_pct,pop_change_text
01001,01,001,Alabama,AL,Autauga County,1,metro or urban,0.0041379,0.9553846,-1.109728,-0.7065906,-0.4973013,0.6704357,6.437032418952618,positive
01003,01,003,Alabama,AL,Baldwin County,2,metro or urban,0.2002343,0.7179643,-0.5659107,-1.084299,0.4015849,0.5530728,8.96616127669952,positive
01005,01,005,Alabama,AL,Barbour County,3,less urban or rural,-0.9506388,0.1310074,-0.9780902,-1.28147,0.0488544,-1.236294,-1.6151609777107785,negative
01007,01,007,Alabama,AL,Bibb County,1,metro or urban,-1.08892,0.065289,-0.9681726,-0.8274103,-1.290857,-0.6000178,3.4752703742250777,positive
01009,01,009,Alabama,AL,Blount County,1,metro or urban,-0.5139221,0.4021944,-0.7186447,-0.6229339,-1.26274,0.2965088,3.3396413445075246,positive
01011,01,011,Alabama,AL,Bullock County,3,less urban or rural,-2.082829,-0.3091858,-1.451335,-1.258014,-1.795921,-1.82397,1.0579064587973273,positive
01013,01,013,Alabama,AL,Butler County,3,less urban or rural,-1.296328,-0.0704518,-1.528175,-1.678537,-0.0580627,-1.295534,0.6533749699735768,positive
01015,01,015,Alabama,AL,Calhoun County,1,metro or urban,0.1712656,1.027328,-0.9281401,-0.0666635,0.4047821,-0.3698209,2.7056539674836206,positive
01017,01,017,Alabama,AL,Chambers County,3,less urban or rural,-0.4575818,0.6116033,-1.004405,-0.2369899,-0.4082792,-0.699318,-2.2549720990127344,negative
01019,01,019,Alabama,AL,Cherokee County,4,less urban or rural,-0.657851,0.1769833,-0.9704146,-0.1945019,-0.6189157,-0.6738133,2.061572292468389,positive
01021,01,021,Alabama,AL,Chilton County,1,metro or urban,-0.5415099,0.1707421,-1.059535,-0.6654943,-0.447298,-0.141334,3.2232147076893995,positive
01023,01,023,Alabama,AL,Choctaw County,4,less urban or rural,-1.584042,-0.3624081,-1.24212,-1.716982,-0.7427115,-1.242582,-4.233940821841868,negative
01025,01,025,Alabama,AL,Clarke County,3,less urban or rural,-1.218799,-0.1306789,-1.122216,-1.877054,-0.2272212,-0.9321283,-3.7077181835170996,negative
01027,01,027,Alabama,AL,Clay County,4,less urban or rural,-0.9040374,-0.1722357,-0.9876922,-0.189493,-0.8776811,-0.7478549,-1.1100832562442182,negative
